acorn_out1.png,"stem, cap, smooth, woody, poisonous, rough, pointy, natural, intact, scaly|acorn, squirrels, hard, pithy, green, brown, fairy hat, oak, tree"
acorn_out1.png,"smooth shell, tree nut, bumpy cap, white meat, animal food, |oak trees, squirrels, deer, forests, autumn, cold weather, winter is coming"
acorn_out1.png,"organic, acorn, stalk, cap, nut, stylus, embryo, cotyledons, edible, hard|harvest, autumn, Native American, food processing, oak tree, squirrel, chipmunk"
acorn_out1.png,"acorn, rounded shape, smooth bottom, rough top, from a tree, seed|autumn, squirrels, acorn trees, preparation for winter, new trees, crisp air"
acorn_out1.png,"grey, small, decorative, painted, distressed look, nature, grows in the forest|nicely colored, great for decorating, great fall looks, home decor"
acorn_out1.png,"small acorn, the cap is rough and brown, the bottom smooth and lighter in color |Used to have acorn fights when I was a kid, now they just collected and fed to the ducks"
acorn_out1.png,"SMALL NUT, SMOOTH BASE, ROUGH TOP, SHORT STALK, LIGHT IN COLOR|SQUIRRELS, HIBERNATION, RAKING THE YARD, THROWING AT FRIENDS, EATING NUTS"
acorn_out1.png,"acorn, cap, nut, hardy, healthy, grayscale, stem, spots, crack on stem, |squirrel, tree, nuts, yard, animals, no color, black and white, desserts"
acorn_out1.png,"Small nut, bumpy top cap with stem, tan coloring, hard shell|Acorn, squirrel, chipmunk, Oak tree, autumn, nuts, roasting, cracking, food"
acorn_out1.png,"acorn, nut, seed, from an oak tree, oak seed, food|squirrel, oak tree, Jumpy Squirrel, food, craft material, tree, seed"
acorn_out1.png,"acorn, acorn hat, stem, came from a tree, ground, hard|found on the ground when the trees die, squirrels collect acorn"
acorn_out1.png,"the stem, the body, the small point at the bottom, silvery-gray color|an acorn, a tree, autumn, squirrels, Thanksgiving, covering the ground,"
acorn_out1.png,"Rough top portion but smooth bottom seedling portion, pointed-tipped end.|Trees, acorns, squirrel food, fall during autumn, wooded areas, buried."
africanelephant_out1.png,"white ivory tusks, large feet, long trunk, large floppy ears, tall, gray|Africa, zoo, circus, endangered, ivory trade, intelligent creature, strong, temperamental"
africanelephant_out1.png,"organic, animal, chordate, mammal, elephant, large, gray, tusks, legs, trunk|circus, Africa, safari, endangered, friendly, pride, royal, dignified, longevity, powerful"
